itemId,itemName
CC01090,電池製造業
CC01101,電信管制射頻器材製造業
CC01110,電腦及其週邊設備製造業
CC01120,資料儲存媒體製造及複製業
CC01990,其他電機及電子機械器材製造業
CD01010,船舶及其零件製造業
CD01020,軌道車輛及其零件製造業
CD01030,汽車及其零件製造業
CD01040,機車及其零件製造業
CD01050,自行車及其零件製造業
CD01060,航空器及其零件製造業
CD01070,商港區船舶小修業
CD01080,工業專用港或工業專用碼頭船舶小修業
CD01990,其他運輸工具及其零件製造業
CE01010,一般儀器製造業
CE01021,度量衡器製造業
CE01030,光學儀器製造業
CE01040,鐘錶製造業
CE01990,其他光學及精密器械製造業
CF01011,醫療器材製造業
CG01010,珠寶及貴金屬製品製造業
CH01010,體育用品製造業
CH01020,樂器製造業
CH01030,文具製造業
CH01040,玩具製造業
CI01010,繩、纜、網製造業
CI01020,毯、氈製造業
CI01030,漁網製造業
CJ01010,製帽業
CK01010,製鞋業
CL01010,製傘業
CM01010,箱、包、袋製造業
CN01010,家具及裝設品製造業
CO01010,餐具製造業
CP01010,手工具製造業
CQ01010,模具製造業
CR01010,瓦斯器材及其零件製造業
CZ99010,製冰業
CZ99020,拉鍊及鈕扣製造業
CZ99990,未分類其他工業製品製造業
