Country,PollutionIndex,ExpPollutionIndex
Mongolia,94.01,173.69
Myanmar,93.93,172.81
Bangladesh,90.07,162.63
Egypt,89.05,159.47
Vietnam,86.96,155.46
China,86.82,158.78
Peru,85.81,154.21
Nigeria,85.54,153.33
Lebanon,85.50,152.11
Nepal,85.06,151.58
Monaco,83.91,153.71
Jordan,82.63,146.85
Macedonia,82.38,150.05
Iran,80.79,147.73
Dominican Republic,78.81,139.04
Pakistan,77.88,137.16
India,76.63,134.82
Bahrain,76.27,140.80
Kazakhstan,74.39,134.58
Saudi Arabia,73.13,129.82
Georgia,73.08,131.52
Venezuela,72.84,128.92
Thailand,72.83,127.31
Jamaica,72.71,127.44
Kenya,72.04,127.08
Qatar,72.02,127.88
Albania,71.65,124.67
Philippines,71.32,124.63
Malta,70.26,122.58
Turkey,70.15,124.16
Morocco,68.54,119.84
Hong Kong,68.46,123.02
Ukraine,67.55,117.73
Chile,67.16,122.30
Mexico,66.51,115.15
Algeria,66.17,116.38
Tunisia,65.46,113.80
Malaysia,65.19,111.98
Colombia,64.60,116.10
Russia,63.83,109.98
Taiwan,62.86,109.66
Bulgaria,62.65,112.20
South Africa,62.49,107.83
Bosnia And Herzegovina,61.72,109.82
Israel,61.05,108.73
Sri Lanka,60.43,103.80
Brazil,60.13,103.04
Indonesia,58.02,98.31
Ecuador,57.49,98.25
Cyprus,56.66,96.71
United Arab Emirates,56.36,96.73
Serbia,55.68,95.25
Argentina,55.10,94.80
Mauritius,54.85,94.27
South Korea,52.48,94.26
Greece,52.36,90.19
Italy,52.33,87.89
Romania,51.21,85.33
Poland,51.09,88.79
Uruguay,50.61,89.23
Costa Rica,50.31,87.59
Belgium,49.79,84.65
Hungary,45.22,77.47
Slovakia,42.01,71.24
Czech Republic,41.42,69.54
Japan,41.02,66.83
France,41.00,69.61
Spain,38.35,63.96
Belarus,37.06,60.37
United Kingdom,36.92,60.45
Singapore,34.82,59.74
Lithuania,33.92,56.67
Latvia,31.88,51.56
Croatia,31.67,51.95
United States,31.44,53.92
Portugal,29.79,48.35
Ireland,28.31,47.68
Canada,27.72,46.31
Netherlands,27.33,44.75
Germany,27.18,43.28
Slovenia,26.04,45.80
Australia,24.87,39.94
Denmark,24.25,37.01
Austria,23.46,37.51
Switzerland,22.43,35.97
New Zealand,19.78,33.89
Norway,19.54,32.15
Sweden,19.16,31.24
Estonia,16.91,29.93
Finland,12.65,24.06
Iceland,11.96,22.80
